FileType = repricing,  Version = 1.2.2 (Please do not edit this line or this will result in error when uploading)
Channel	SellerSKU	Cost	Rule Name	Min Price	Max Price	Shipping	add-delete	Group	Enable Repricing
Amazon US	YV-S77C-FU7J		0-10$	15.89	11000000	0		123	1
Amazon US	3N-NZXM-8HFP		0-10$	16.05	11000000	0		123	1
Amazon US	JB-CHR2-549P		0-10$	13.7	11000000	0		123	1
Amazon US	JJ-CPX1-QV3F		0-10$	80.44	11000000	0		123	1
Amazon US	XU-JI3H-9BOB		0-10$	12.95	11000000	0		123	1
Amazon US	JC-5786-E8YU		0-10$	590.44	11000000	0		123	1
Amazon US	DQ-2P2O-PLEB		0-10$	691.92	11000000	0		123	1
Amazon US	D1-D8DD-3SUX		0-10$	30.48	11000000	0		123	1
Amazon US	G0-5XBI-NP8V		0-10$	32.59	11000000	0		123	1
Amazon US	KF-8E6Q-YNVO		0-10$	135.64	11000000	0		123	1
Amazon US	RV-TBH4-CUFS		0-10$	101.76	11000000	0		123	1
Amazon US	9H-SOV0-PTKE		0-10$	106.24	11000000	0		123	1
Amazon US	X2-B9VJ-XUR1		0-10$	8.06	11000000	0		123	1
Amazon US	8F-1INP-4PDR		0-10$	26.74	11000000	0		123	1
Amazon US	Q7-FPB9-H4YW		0-10$	23.65	11000000	0		123	1
Amazon US	X9-SW5J-PB16		0-10$	18.38	11000000	0		123	1
Amazon US	HF-ONNG-VYFA		0-10$	23.53	11000000	0		123	1
Amazon US	IC-ZTOG-HKT7		0-10$	19.92	11000000	0		123	1
Amazon US	VU-RQMG-RBWT		0-10$	36.88	11000000	0		123	1
Amazon US	JW-9Y02-V8W5		0-10$	23.7	11000000	0		123	1
Amazon US	XR-MHRV-EOVR		0-10$	32.37	11000000	0		123	1
Amazon US	OP-BIEQ-EAXU		0-10$	31.41	11000000	0		123	1
Amazon US	DU-UJVD-LAQ4		0-10$	52.53	11000000	0		123	1
Amazon US	QW-F7N9-40YS		0-10$	37.03	11000000	0		123	1
Amazon US	Z1-P40S-W2NM		0-10$	21.4	11000000	0		123	1
Amazon US	0P-2Z9D-ZFAF		0-10$	29.49	11000000	0		123	1
Amazon US	RQ-GADU-QENH		0-10$	57.96	11000000	0		123	1
Amazon US	2X-NO6C-N9W2		0-10$	21.28	11000000	0		123	1
Amazon US	R3-NIVU-Y5EM		0-10$	30.02	11000000	0		123	1
Amazon US	LL-PKZN-DOBL		0-10$	36.54	11000000	0		123	1
Amazon US	9P-EFLA-N4HX		0-10$	24.85	11000000	0		123	1
Amazon US	4T-4OD9-LBEV		0-10$	28.5	11000000	0		123	1
Amazon US	B6-KK9F-SJI9		0-10$	31.62	11000000	0		123	1
Amazon US	A1-CQAY-KS8B		0-10$	10.92	11000000	0		123	1
Amazon US	M3-0VHB-ISL8		0-10$	21.5	11000000	0		123	1
Amazon US	8T-CR94-A5VV		0-10$	58.48	11000000	0		123	1
Amazon US	YV-X9VN-VOJH		0-10$	166.14	11000000	0		123	1
Amazon US	BI-1OKX-X12Z		0-10$	56.21	11000000	0		123	1
Amazon US	FU-Q3JV-OTEQ		0-10$	48.65	11000000	0		123	1
Amazon US	TO-88NF-LB58		0-10$	80.43	11000000	0		123	1
Amazon US	ZF-TT8S-YLNM		0-10$	41.39	11000000	0		123	1
Amazon US	TE-1DAQ-H6MI		0-10$	39.41	11000000	0		123	1
Amazon US	C5-N84I-595D		0-10$	49.75	11000000	0		123	1
Amazon US	9O-P351-4MJG		0-10$	93.5	11000000	0		123	1
Amazon US	7N-5QWM-WLVO		0-10$	38.5	11000000	0		123	1
Amazon US	1P-T6P9-37TN		0-10$	100.55	11000000	0		123	1
Amazon US	UB-Z61J-M68T		0-10$	27.46	11000000	0		123	1
Amazon US	KN-VQPP-X5CL		0-10$	71.07	11000000	0		123	1
Amazon US	JX-53A8-9UP8		0-10$	470.43	11000000	0		123	1
Amazon US	DA-ZZST-CSGZ		0-10$	84.42	11000000	0		123	1
Amazon US	Y8-NP8M-51GZ		0-10$	33.46	11000000	0		123	1
Amazon US	4I-H3HV-S2UI		0-10$	197.82	11000000	0		123	1
Amazon US	6A-3254-BN51		0-10$	208.33	11000000	0		123	1
Amazon US	DK-MRHF-1BTM		0-10$	35.46	11000000	0		123	1
Amazon US	G8-SUZP-J47O		0-10$	35.43	11000000	0		123	1
Amazon US	FO-0ILP-4A5N		0-10$	32.41	11000000	0		123	1
Amazon US	5Q-1WPY-JG8V		0-10$	131.36	11000000	0		123	1
Amazon US	IF-EJTQ-AQPX		0-10$	17.75	11000000	0		123	1
Amazon US	Q8-FGLT-H81O		0-10$	28.42	11000000	0		123	1
Amazon US	VE-JVVG-I7CE		0-10$	46.24	11000000	0		123	1
Amazon US	SV-4KU7-PJ0W		0-10$	33.68	11000000	0		123	1
Amazon US	VV-7MOS-URH2		0-10$	12.99	11000000	0		123	1
