sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	handling-time
09-GPTH-40T2	10.05			2	2
R0-Q9XC-UPH0	9.2			2	2
Z8-I6E7-WP1C	9.77			2	2
DN-KHZ9-SB6M	15.67			2	2
0K-C1SK-73K0	17.81			2	2
OD-0QZN-EI5O	16.51			2	2
W6-UOY6-Z8OH	48.66			2	2
BL-TZ6L-MU7X	80.0			2	2
FI-48R0-ENH1	21.03			2	2
C2-BU4T-FQ30	61.68			2	2
VT-3G4O-VPO2	228.13			2	2
YF-SLIY-90SK	119.07			2	2
UB-RFTF-GIBJ	106.89			2	2
9Y-LYYQ-S5DK	37.65			2	2
S5-L3HQ-TF35	156.09			2	2
GP-IO9J-ONBU	23.2			2	2
05-8SV7-KRXD	27.09			2	2
UU-96ZY-XZX0	137.05			2	2
B5-6SGZ-0TAI	13.37			2	2
5E-TKOM-T19O	31.21			2	2
WD-GPTC-C9O4	17.01			2	2
WG-VKQ3-LAVF	12.57			2	2
9Y-UYNU-UNTS	78.92			2	2
W3-6B1B-XARS	253.54			2	2
F1-94OM-96MG	41.9			2	2
EL-YWMB-M0LS	46.83			2	2
KZ-FWV5-O2Q4	26.36			2	2
MK-S7HR-9C0Y				0	2
MZ-A9OX-2RYY	18.91			2	2
Q9-791Y-R3VB	9.9			2	2
74-KCOO-VLDG	412.92			2	2
4W-40RJ-4IMB	52.19			2	2
W1-P15N-BS91	25.66			2	2
ML-4BX2-I50J	96.01			2	2
7W-ZZAU-N973	70.04			2	2
5N-AIPZ-ZSY5	34.73			2	2
7Z-OWAT-8JWF	95.86			2	2
W7-23P2-BSDJ	23.2			2	2
DR-BPXQ-93W3	576.77			2	2
I9-2N6D-IJ0M	61.33			2	2
H5-R1CG-CKEI	343.88			2	2
V7-RGJ5-KV7L	16.7			2	2
2M-EKH3-EZ51	148.04			2	2
UZ-1RWI-IHXC	33.59			2	2
6S-XIVS-RNB6	32.63			2	2
88-C5PZ-H9V4	223.99			2	2
P2-79GD-IL9R	16.72			2	2
21-0HRA-JEWR	13.73			2	2
AI-U137-GF6C	34.2			2	2
DJ-P9DO-4UHQ	49.85			2	2
UA-PYGA-T43V	26.7			2	2
1H-M75A-DSXT	35.08			2	2
HK-EEYO-SKRH	68.31			2	2
FJ-O2MC-1L7W	78.69			2	2
PM-G0UY-G7IT	8.46			2	2
WZ-LPDR-42MB	12.4			2	2
S0-A02F-4FNN	58.07			2	2
0V-ZKN4-F425	34.37			2	2
5O-MIDM-I7L8	83.83			2	2
0M-7I7A-5LHR	51.74			2	2
F6-UA7W-BJV5	251.01			2	2
V6-EPMS-4XE9	77.71			2	2
SD-CBFT-CX2Z	13.66			2	2
1G-XKD6-SM7K	99.18			2	2
G6-BQ27-DJAQ	60.76			2	2
HQ-FK7R-P2IS	36.02			2	2
QE-QPN9-T8PO	52.28			2	2
9G-ABTV-INAM	145.89			2	2
MC-23E7-IYBB				0	2
3A-TPXR-AQJX	22.65			2	2
RN-P3HF-FW6G	13.45			2	2
GH-KBQ9-1K1Z	43.67			2	2
D7-1JV6-ZSVN	32.86			2	2
YV-S77C-FU7J	16.88			2	2
3N-NZXM-8HFP	17.05			2	2
JB-CHR2-549P	14.56			2	2
JJ-CPX1-QV3F	85.47			2	2
XU-JI3H-9BOB	13.76			2	2
JC-5786-E8YU	627.34			2	2
DQ-2P2O-PLEB	735.17			2	2
D1-D8DD-3SUX	32.38			2	2
G0-5XBI-NP8V	34.62			2	2
KF-8E6Q-YNVO	144.12			2	2
RV-TBH4-CUFS	108.12			2	2
9H-SOV0-PTKE	112.88			2	2
X2-B9VJ-XUR1	8.57			2	2
8F-1INP-4PDR	28.41			2	2
Q7-FPB9-H4YW	25.13			2	2
X9-SW5J-PB16	19.53			2	2
HF-ONNG-VYFA	25.0			2	2
IC-ZTOG-HKT7	21.17			2	2
VU-RQMG-RBWT	39.19			2	2
JW-9Y02-V8W5	25.19			2	2
XR-MHRV-EOVR	34.4			2	2
OP-BIEQ-EAXU	33.38			2	2
DU-UJVD-LAQ4	55.82			2	2
QW-F7N9-40YS	39.34			2	2
Z1-P40S-W2NM	22.74			2	2
0P-2Z9D-ZFAF	31.33			2	2
RQ-GADU-QENH	61.59			2	2
2X-NO6C-N9W2	22.61			2	2
R3-NIVU-Y5EM	31.89			2	2
LL-PKZN-DOBL	38.82			2	2
9P-EFLA-N4HX	26.4			2	2
4T-4OD9-LBEV	30.28			2	2
B6-KK9F-SJI9	33.6			2	2
A1-CQAY-KS8B	11.61			2	2
M3-0VHB-ISL8	22.85			2	2
8T-CR94-A5VV	62.13			2	2
YV-X9VN-VOJH	176.53			2	2
BI-1OKX-X12Z	59.72			2	2
FU-Q3JV-OTEQ	51.69			2	2
TO-88NF-LB58	85.46			2	2
ZF-TT8S-YLNM	43.97			2	2
TE-1DAQ-H6MI	41.87			2	2
C5-N84I-595D	52.86			2	2
9O-P351-4MJG	99.34			2	2
7N-5QWM-WLVO	40.91			2	2
1P-T6P9-37TN	106.83			2	2
UB-Z61J-M68T	29.18			2	2
KN-VQPP-X5CL	75.52			2	2
JX-53A8-9UP8	499.83			2	2
DA-ZZST-CSGZ	89.7			2	2
Y8-NP8M-51GZ	35.55			2	2
4I-H3HV-S2UI	210.18			2	2
6A-3254-BN51	221.35			2	2
DK-MRHF-1BTM	37.67			2	2
G8-SUZP-J47O	37.65			2	2
FO-0ILP-4A5N	34.44			2	2
5Q-1WPY-JG8V	139.57			2	2
IF-EJTQ-AQPX	18.86			2	2
Q8-FGLT-H81O	30.2			2	2
VE-JVVG-I7CE	49.13			2	2
SV-4KU7-PJ0W	35.78			2	2
VV-7MOS-URH2	13.8			2	2
KD-4ZNR-YRTZ	65.11			2	2
H7-463Y-UMCY	19.36			2	2
