FileType = repricing,  Version = 1.2.2 (Please do not edit this line or this will result in error when uploading)
Channel	SellerSKU	Cost	Rule Name	Min Price	Max Price	Shipping	add-delete	Group	Enable Repricing
Amazon US	W4-U5I0-RAP1		0-10$	10.3	11000000	0		123	0
Amazon US	K3-PY0B-8EXR		0-10$	30.24	11000000	0		123	0
Amazon US	GR-8C32-N4FI		0-10$	18.7	11000000	0		123	0
Amazon US	1C-IA5E-9SH9		0-10$	51.55	11000000	0		123	0
Amazon US	W0-T7SG-QFLG		0-10$	45.08	11000000	0		123	0
Amazon US	TP-1D82-RE8V		0-10$	9.83	11000000	0		123	0
Amazon US	LC-QODY-4BXA		0-10$	8.89	11000000	0		123	0
Amazon US	4Y-D9KG-S8TX		0-10$	19.75	11000000	0		123	0
Amazon US	5L-RRPP-PUXA		0-10$	19.74	11000000	0		123	0
Amazon US	KB-R664-JV6J		0-10$	17.29	11000000	0		123	0
Amazon US	S1-ZK2G-ZIG0		0-10$	20.83	11000000	0		123	0
Amazon US	WY-5R5N-SUOV		0-10$	13.26	11000000	0		123	0
Amazon US	I0-WEFR-5X65		0-10$	13.95	11000000	0		123	0
Amazon US	88-DDIE-U3CV		0-10$	12.65	11000000	0		123	0
Amazon US	W4-8C4G-9E03		0-10$	15.13	11000000	0		123	0
Amazon US	UV-EUWG-5UJR		0-10$	9999999	11000000	0		123	0
Amazon US	I8-VVOR-PPZU		0-10$	27.5	11000000	0		123	0
Amazon US	Z3-EA27-RLAZ		0-10$	46.08	11000000	0		123	0
Amazon US	BH-YT5G-1PBX		0-10$	198.11	11000000	0		123	0
Amazon US	DJ-W235-5FL9		0-10$	39.71	11000000	0		123	0
Amazon US	4D-550C-81N4		0-10$	37.91	11000000	0		123	0
Amazon US	SX-0ZLV-UEW1		0-10$	32.93	11000000	0		123	0
Amazon US	R4-35VY-9LIW		0-10$	20.65	11000000	0		123	0
Amazon US	DZ-U86J-5EQD		0-10$	13.81	11000000	0		123	0
Amazon US	3R-J423-VRK2		0-10$	43.1	11000000	0		123	0
Amazon US	D5-IJHT-YFQ0		0-10$	13.82	11000000	0		123	0
Amazon US	F0-2DT8-ZH8G		0-10$	24.94	11000000	0		123	0
Amazon US	KN-72OG-FXWN		0-10$	45.02	11000000	0		123	0
